tx	gene_id	RAP10_146_Schizocladia_ischiensis_imm_mat_Thalli_1_T1	RAP10_147_Schizocladia_ischiensis_imm_mat_Thalli_2_T1	RAP10_148_Schizocladia_ischiensis_imm_mat_Thalli_3_T1	RAP9_140_Schizocladia_ischiensis_immmatThalli_1_T1	RAP9_141_Schizocladia_ischiensis_immmatThalli_2_T1	RAP9_142_Schizocladia_ischiensis_immmatThalli_3_T1
mRNA_S-ischiensis_contig1.734.1	nbisL1-mrna-3063	17.628907	17.368245	12.817882	16.159564	20.489769	16.087987
mRNA_S-ischiensis_contig1.735.1	nbisL1-mrna-15926	39.914858	39.923122	43.682616	50.312429	51.204837	56.408191
mRNA_S-ischiensis_contig1.736.1	nbisL1-mrna-15927	35.003457	31.24051	32.853241	35.061376	37.378645	38.897042
mRNA_S-ischiensis_contig1.737.1	nbisL1-mrna-7631	1.991655	0.890987	1.798156	1.243886	3.001466	1.286562
mRNA_S-ischiensis_contig1.738.1	nbisL1-mrna-15928	114.55146	114.304075	128.008798	121.879782	131.339475	142.837917
mRNA_S-ischiensis_contig1.739.1	nbisL1-mrna-15929	4.028022	6.167401	6.219712	3.951845	5.385069	7.03373
mRNA_S-ischiensis_contig1.740.1	nbisL1-mrna-15930	18.532697	16.242673	16.468966	21.130254	22.397363	21.795893
mRNA_S-ischiensis_contig1.741.1	nbisL1-mrna-15931	64.040171	75.145671	65.019352	57.31787	52.64981	43.80409
mRNA_S-ischiensis_contig1.742.1	nbisL1-mrna-15932	6.489826	6.055283	3.980981	6.954402	6.322162	3.3331
mRNA_S-ischiensis_contig1.743.1	nbisL1-mrna-15933	17.968454	18.129397	21.629725	20.331148	18.632407	20.124766
mRNA_S-ischiensis_contig1.744.1	nbisL1-mrna-15934	13.717259	14.195445	14.729426	19.379679	12.111017	12.376616
mRNA_S-ischiensis_contig1.745.1	nbisL1-mrna-15935	18.116562	17.559744	19.168988	22.755489	25.482955	23.952742
mRNA_S-ischiensis_contig1.746.1	nbisL1-mrna-3064	50.4349	43.764251	47.583204	60.403822	73.123491	70.514641
mRNA_S-ischiensis_contig1.747.1	nbisL1-mrna-3065	25.940776	31.140916	22.266926	21.495239	25.382501	17.994594
mRNA_S-ischiensis_contig1.748.1	nbisL1-mrna-15936	17.595139	16.389204	20.363516	14.482213	15.195887	15.283046
mRNA_S-ischiensis_contig1.749.1	nbisL1-mrna-7632	34.592619	46.902053	47.383097	22.154593	28.470087	21.396551
mRNA_S-ischiensis_contig1.750.1	nbisL1-mrna-15937	109.420366	119.587398	116.037801	111.045856	121.406945	119.312503
mRNA_S-ischiensis_contig1.751.1	nbisL1-mrna-15938	22.106675	22.114178	16.021644	24.561454	24.599747	17.067393
mRNA_S-ischiensis_contig1.752.1	nbisL1-mrna-7633	60.149162	46.364914	31.147311	57.386818	59.476484	47.618257
mRNA_S-ischiensis_contig1.753.1	nbisL1-mrna-7634	36.552063	34.878216	26.661176	90.125168	101.923671	76.653445
mRNA_S-ischiensis_contig1.754.1	nbisL1-mrna-15939	33.045009	30.583367	32.956091	27.65638	28.224224	31.532052
mRNA_S-ischiensis_contig1.755.1	nbisL1-mrna-15940	7.531397	7.55044	2.938413	8.633167	7.939544	2.830779
mRNA_S-ischiensis_contig1.756.1	nbisL1-mrna-15942	3.033213	0	1.26358	0	0	1.817323
mRNA_S-ischiensis_contig1.757.1	nbisL1-mrna-7635	0	0	0	0	0	0
mRNA_S-ischiensis_contig1.758.1	nbisL1-mrna-3066	10.034559	8.189337	2.90661	5.967039	7.977763	2.051921
mRNA_S-ischiensis_contig1.759.1	nbisL1-mrna-15943	16.449439	21.673822	10.495526	20.797861	34.649948	14.190252
mRNA_S-ischiensis_contig1.760.1	nbisL1-mrna-15944	105.701086	102.287459	37.987906	66.930908	62.994996	30.593015
mRNA_S-ischiensis_contig1.761.1	nbisL1-mrna-7636	56.339181	60.17303	23.184053	57.442248	63.237306	21.458575
mRNA_S-ischiensis_contig1.762.1	nbisL1-mrna-15941	74.799787	84.754052	53.317244	68.219832	69.317397	34.670598
mRNA_S-ischiensis_contig1.763.1	nbisL1-mrna-15945	115.899524	120.742321	108.591821	103.340666	100.086676	87.676936
mRNA_S-ischiensis_contig1.764.1	nbisL1-mrna-15946	233.802266	229.77187	222.356813	189.423412	180.942281	158.833547
mRNA_S-ischiensis_contig1.765.1	nbisL1-mrna-3067	19.499932	26.737541	29.631537	10.75829	16.002385	16.307321
mRNA_S-ischiensis_contig1.766.1	nbisL1-mrna-3068	2.425566	1.337628	9.303458	2.946865	17.773476	5.338968
